姓名,岗位,当前阶段,推荐日期,业务筛选日期,邀约日期,面试日期,Offer日期,接受日期,入职日期,状态备注,base地,子状态
多衡,短剧编剧,已入职,2026/07/15,2026/07/15,2026/07/15,2026/07/20,2026/07/24,,,7.28入职,北京,
张紫茜,内容策略运营,已淘汰,2026/07/15,,,,,,,初筛拒绝,北京,
杨思奇,短剧编剧,已淘汰,2026/07/16,,,,,,,,北京,
姬萌,内容策略运营,待入职,2026/07/16,2026/07/15,2026/07/16,2026/07/29,2026/07/31,,,8.27入职,北京,
杨丹,内容策略运营,已淘汰,2026/07/16,2026/07/15,2026/07/16,2026/07/17,2026/07/21,,,学历造假，主动放弃,北京,
游乐,抽卡师,已淘汰,2026/07/16,,,,,,,,重庆,
孙佳琪,短剧编剧,已淘汰,2026/07/20,2026/07/20,,,,,,,北京,
张婷,抽卡师,已淘汰,2026/07/16,2026/07/16,2026/07/17,2026/07/17,,,,,重庆,
黄芳萍,抽卡师,已淘汰,2026/07/17,,,,,,,,重庆,
韩棠,短剧编剧,已淘汰,2026/07/17,2026/07/20,2026/07/20,2026/07/21,,,,,北京,
邱佩祺,AI短剧编剧,已淘汰,2026/07/17,,2026/07/23,,,,,,深圳,
韩婷,抽卡师,已淘汰,2026/07/17,2026/07/17,2026/07/17,2026/07/20,,,,,重庆,
张昊,抽卡师,已淘汰,2026/07/17,,,,,,,,重庆,
檀俊梦,短剧编剧,已淘汰,2026/07/20,2026/07/20,2026/07/20,2026/07/21,,,,,北京,
付怡,抽卡师,已淘汰,2026/07/20,,,,,,,,重庆,
赵毅,抽卡师,已淘汰,2026/07/20,,,,,,,,重庆,
郑迦南,AI短剧编剧,已淘汰,2026/07/20,,,,,,,,深圳,
廖宇航,抽卡师,已淘汰,2026/07/20,2026/07/20,2026/07/20,2026/07/20,,,,,重庆,
皮珍梅,短剧编剧,已淘汰,2026/07/20,2026/07/20,2026/07/20,2026/07/22,,,,,北京,
杨玉婷,抽卡师,已淘汰,2026/07/20,2026/07/20,2026/07/21,2026/07/22,,,,,重庆,
王青飞,抽卡师,已淘汰,2026/07/21,2026/07/21,2026/07/21,2026/07/23,,,,,重庆,
陈礼祥,抽卡师,已入职,2026/07/21,2026/07/22,2026/07/22,2026/07/22,2026/07/28,,,8.04入职,重庆,
王乐文,AI短剧编剧,已淘汰,2026/07/21,,,,,,,待业务反馈,深圳,
孙雯萱,抽卡师,已淘汰,2026/07/22,2026/07/22,2026/07/22,2026/07/23,,,,,重庆,
余槿,短剧编剧,已淘汰,2026/07/22,2026/07/22,2026/07/22,2026/07/22,,,,,杭州,
钟孟跃,短剧编剧,已淘汰,2026/07/22,2026/07/22,2026/07/22,2026/07/22,,,,,杭州,
石文平,抽卡师,已淘汰,2026/07/23,2026/07/24,2026/07/24,2026/07/24,,,,,重庆,
邹梦实,抽卡师,已淘汰,2026/07/23,2026/07/23,2026/07/23,2026/07/23,,,,,重庆,
李乐桦,AI短剧编剧,已淘汰,2026/07/23,,,,,,,,深圳,
丁帅,抽卡师,已淘汰,2026/07/24,,,,,,,,重庆,
熊睿,抽卡师,已淘汰,2026/07/24,,,,,,,,重庆,
陈志豪,抽卡师,已入职,2026/07/24,2026/07/24,2026/07/24,2026/07/27,2026/07/28,,,8.04入职,重庆,
廖恒阳,抽卡师,已淘汰,2026/07/24,,,,,,,,重庆,
龙俊林,AI短剧编剧,已淘汰,2026/07/24,,,,,,,,深圳,
张仕城,抽卡师,已淘汰,2026/07/24,2026/07/24,2026/07/24,2026/07/27,,,,,重庆,
于雅如,短剧编剧,已淘汰,2026/07/24,,,,,,,杭州,杭州,
刘颖,内容策略运营,已入职,2026/07/27,2026/07/27,2026/07/27,2026/07/30,2026/07/31,,,8.06入职,北京,
黄奕,抽卡师,Offer,2026/07/27,2026/07/27,2026/07/27,2026/07/28,2026/08/05,,,谈薪中,重庆,
高杰,抽卡师,已淘汰,2026/07/27,,,,,,,初筛未通过,重庆,
宋祖乔,抽卡师,已淘汰,2026/07/27,2026/07/28,2026/07/28,2026/07/29,,,,初筛未通过,重庆,
颜佳蕾,短剧编剧,待入职,2026/07/28,2026/07/28,2026/07/28,2026/07/29,2026/08/04,,,9.01入职,深圳,
王翊凡,内容策略运营,已淘汰,2026/07/28,,,,,,,,北京,
田宏扬,短剧运营,已淘汰,2026/07/28,,,,,,,,北京,
朱碧伊,短剧编剧,已入职,2026/07/28,2026/07/28,2026/07/28,2026/07/29,2026/08/04,,,8.06入职,深圳,
潘思敏,短剧编剧,待入职,2026/07/28,2026/07/28,2026/07/28,2026/07/29,2026/08/04,,,8.11入职,深圳,
赵培培,短剧运营,已淘汰,2026/07/29,2026/07/29,2026/07/29,2026/07/30,,,,,北京,
吴鑫涛,短剧编剧,已淘汰,2026/07/29,2026/07/29,2026/07/29,2026/07/29,2026/07/29,,,谈薪中,杭州,
毛雨群,短剧编剧,待入职,2026/07/29,2026/07/29,2026/07/29,2026/07/30,2026/08/04,,,8.18入职,深圳,
邓欣琪,短剧运营,已淘汰,2026/07/29,2026/07/29,2026/07/29,2026/07/30,,,,,北京,
王可儿,短剧编剧,Offer,2026/07/29,2026/07/29,2026/07/29,2026/07/29,2026/08/05,,,谈薪中,北京,
许新,AI短剧编剧,已面试待反馈,2026/07/30,2026/07/30,2026/07/31,2026/08/03,,,,,深圳,
彭雨阳,抽卡师,已淘汰,2026/07/30,,,,,,,,重庆,
张洋,短剧编剧,已淘汰,2026/07/30,,,,,,,,杭州,
袁纪文,短剧运营,已淘汰,2026/07/31,,,,,,,,北京,
王雨鑫,短剧编剧,已面试待反馈,2026/07/31,2026/08/05,2026/08/05,2026/08/06,,,,,北京,
代明宇,抽卡师,已淘汰,2026/08/03,2026/08/03,2026/08/03,2026/08/03,,,,,重庆,
郭羽佳,短剧编剧,邀约面试,2026/08/03,2026/08/05,2026/08/05,2026/08/10,,,,,北京,
梁迎东,抽卡师,已淘汰,2026/08/03,,,,,,,,重庆,
冯傲,短剧编剧,已淘汰,2026/08/04,,,,,,,北京,北京,
胡小敏,短剧编剧,已淘汰,2026/08/04,2026/08/04,2026/08/04,2026/08/04,,,,杭州,杭州,
粱茜,短剧编剧,已淘汰,2026/08/04,2026/08/04,2026/08/04,2026/08/04,,,,,杭州,
戴瑞,抽卡师,已淘汰,2026/08/04,,,,,,,,重庆,
涂玉凤,抽卡师,已淘汰,2026/08/04,,,,,,,,重庆,
王梓澎,抽卡师,已淘汰,2026/08/05,2026/08/05,2026/08/05,2026/08/05,,,,,重庆,
陈绩,抽卡师,已淘汰,2026/08/05,,,,,,,,重庆,
穆敏,抽卡师,已淘汰,2026/08/05,,,,,,,,重庆,
郭美钰,剧本审核专员,邀约面试,2026/08/05,2026/08/05,2026/08/05,2026/08/06,,,,,西安,
徐楚乔,抽卡师,已淘汰,2026/08/06,,,,,,,,重庆,
田俊鹏,短剧编剧,推荐简历,2026/08/06,2026/08/06,2026/08/06,2026/08/10,,,,,北京,
崔戊辰,短剧编剧,推荐简历,2026/08/06,,,,,,,,杭州,
林星成,抽卡师,邀约面试,2026/08/06,2026/08/07,2026/08/07,2026/08/07,,,,,重庆,
申彦隆,抽卡师,邀约面试,2026/08/07,2026/08/07,2026/08/07,2026/08/10,,,,,广州,
黄钰坤,抽卡师,推荐简历,2026/08/07,,,,,,,,广州,
聂满兴,抽卡师,推荐简历,2026/08/07,,,,,,,,广州,
